epoch,train_loss,val_CRPS_log,val_CRPS_mm,val_Brier_flash,val_Brier_peak,val_Brier_acc
1,4.7480893696627415,0.13817409470187378,4192.004731679669,0.14483897253299227,0.1626520056964967,0.1661409157062494
2,4.578734527083417,0.13356958054134277,96349979.78001314,0.1240997376719611,0.15815564909448546,0.1529050418413116
3,4.544431026593167,0.14141309077329026,2.5717962950814925e+22,0.1109036699279651,0.142489842767309,0.11522216604880489
4,4.520577496599074,0.13960778911578556,inf,0.12636929574956565,0.1526849368613132,0.14068782211601932
5,4.503738602855914,0.13674961423374815,inf,0.11800856773055399,0.14508047842368701,0.11246530709847838
6,4.4905491768057235,0.1351783143450548,inf,0.1275919400441929,0.15605333695357362,0.13472984358908635
7,4.476543702990472,0.13741420590698408,inf,0.14025684571945116,0.1586012753300787,0.15031967224342224
8,4.4642785036748265,0.13334590827848256,inf,0.12232165903754669,0.15661948355294752,0.1483926772882625
9,4.458015802697853,0.1358124555270301,inf,0.12460271036099423,0.15659687364179267,0.1458462250200695
10,4.44454701215673,0.1365491099057732,inf,0.11292976361952628,0.14299517028204953,0.11858933249193242
11,4.433786343349935,0.13417364573730836,inf,0.12488680473299846,0.16172724818656617,0.1635477571053659
12,4.42887641110069,0.13315369182376627,inf,0.14423604909969215,0.1668643363418099,0.16069679384886373
13,4.426963855815476,0.13455504125782422,inf,0.11262953975549443,0.15549630561911693,0.1407878319237252
14,4.421171656653891,0.13324991639059375,inf,0.12869422760993063,0.16296500871797398,0.1472215645435173
15,4.419334348121764,0.13458784991747114,inf,0.1492310610576038,0.16352587835256788,0.1658995770010573
16,4.408888758901274,0.13467679406680128,inf,0.12690938602333707,0.15629081452389235,0.13565472628829148
17,4.404919483292427,0.13366151788882027,inf,0.12385855858777997,0.1554249668939405,0.14904332381638533
18,4.399551561115461,0.13308965253180463,inf,0.13587840559048672,0.16155492187514134,0.1626675939078397
19,4.394461187222667,0.13348303615879786,inf,0.13050100493148462,0.15602070835806967,0.14802211175453034
20,4.384544667538271,0.13580093269101717,inf,0.11940454632791161,0.15130454654172273,0.1318771497943412
21,4.38075810055062,0.13819177731878096,inf,0.10853559388520792,0.15524174874198604,0.12920832465450474
22,4.377160402395989,0.13552800251068775,inf,0.11847358991329075,0.1516044182797799,0.13319476774181202
23,4.370320517843311,0.1340768567593898,inf,0.11137190801766586,0.15174740179522797,0.132629132655106
24,4.3691570317546935,0.1353228214827207,inf,0.11792026984045591,0.1518406334347894,0.1346644669880272
25,4.362763857537693,0.1360554858337997,inf,0.12392160932042483,0.15766652839661244,0.13011228356371063
26,4.359446747569375,0.13758253045574817,inf,0.10692962152500166,0.1462690605175687,0.11259444461064587
27,4.3543608120538115,0.13642754508523133,inf,0.13671795254794397,0.1554763417376513,0.14124836854256748
28,4.35078405440298,0.13268419424617883,inf,0.12552408891316233,0.16334666382681423,0.14782693826972976
29,4.352305870497633,0.13437048191827713,inf,0.12342677824277047,0.15901076734930605,0.13823503500581918
30,4.352379288348747,0.1342902326123231,inf,0.1219204846545271,0.16181149176346601,0.15339520447211472
31,4.342802238636388,0.13396994117038968,inf,0.1262181127404214,0.1567348775862359,0.14281207956575218
32,4.3430233146333,0.13818064381819517,inf,0.11678884959497604,0.15428262217762373,0.13898300323900148
33,4.344164080359667,0.13472015800876122,inf,0.11810598942864585,0.1576460837529432,0.13724229963276427
34,4.334702387116808,0.13363099783027824,inf,0.12288630818759995,0.16644683250530415,0.1589995746200567
35,4.332781994214092,0.13535137837371408,inf,0.1122184120601555,0.14501278221122801,0.12499435195449725
36,4.335225040551957,0.1350331993332256,inf,0.12376536832572858,0.1561738123293514,0.13934484404311598
37,4.338332721228325,0.13453024633363447,inf,0.1194298330076678,0.15245897227500546,0.12913551589402641
38,4.333312961153139,0.13542367143188166,inf,0.12214101565129482,0.15191036786247525,0.13842164556862702
