epoch,val_CRPS_log,val_Brier_flash,val_Brier_peak,val_Brier_acc
1,0.19011475537491487,0.04591579208949825,0.17500977122791683,0.08262921272064344
2,0.18671051334128927,0.04729669722107496,0.1802800455222768,0.06457069832410064
3,0.18303184682269702,0.04675869092331595,0.17488560666376973,0.05671046920343255
4,0.18049679540960892,0.047399342373858955,0.1758480472599834,0.056421492980546835
5,0.18268748383501784,0.04744242427618651,0.1821169065303147,0.055372195343852536
6,0.17914924319697226,0.04779188585304326,0.1841590788629186,0.056437115522173065
7,0.1838611376549698,0.048122518984585826,0.19381843897669096,0.055761085786307375
8,0.1841351153898517,0.047713914859986044,0.17573433241577985,0.051437523712653005
9,0.18202407841444118,0.04840212321555152,0.1926016529074674,0.05230108344296574
10,0.1888081028226776,0.04833662964364274,0.20274712647634047,0.059397384691438335
