epoch,val_CRPS_log,val_Brier_flash,val_Brier_peak,val_Brier_acc
1,0.1742881357431321,0.04853535974341349,0.16950797186365307,0.05124208097953396
2,0.18456045800790788,0.04829352975293053,0.23236507322523628,0.0717366817397073
3,0.1913580759205346,0.048973907932360554,0.3034674912830169,0.16313641582406457
4,0.1878769343085295,0.04790560686729379,0.2737421631119567,0.09787648867462839
5,0.18915170727935313,0.048512763747252004,0.2821413346993167,0.07435249505135488
6,0.1793287629277838,0.04768457834794028,0.24995694707109112,0.06094751858220018
7,0.18405117668926987,0.04781598338331619,0.24492196117495169,0.06352485879132236
8,0.19239856577105172,0.04762102167149228,0.3108495745588257,0.06836665049121077
9,0.19465908035149193,0.04818797172729827,0.3136176596346411,0.08448763795900517
10,0.17493407962903,0.047802737160661246,0.23689422377071065,0.04968471775011362
