epoch,val_CRPS_log,val_Brier_flash,val_Brier_peak,val_Brier_acc
1,0.18583878021161115,0.04843098308850318,0.188734588526233,0.052894772364305384
2,0.19230755219648493,0.04872844522061332,0.26705551539346445,0.09138556403497428
3,0.1993828260257788,0.04880953435325898,0.2936929082985807,0.07216020006881477
4,0.19031909414556497,0.048706799477426135,0.2648822232653086,0.06236591417061215
5,0.18935708026949774,0.04851959806594043,0.29422300000090323,0.07747457999298228
6,0.19658009629410797,0.04901219734697224,0.30985432041717675,0.06802084298422856
7,0.19049214085094296,0.04788744702808148,0.2808706460478462,0.06751335658416772
8,0.19748136582142903,0.04767276127705239,0.30684000371177866,0.06161643703496055
9,0.19109996559371184,0.047162179916729365,0.2829276777363943,0.05593252083898477
10,0.1946678070833382,0.048096548702837555,0.3078407954337759,0.08078832098277713
