epoch,val_CRPS_log,val_Brier_flash,val_Brier_peak,val_Brier_acc
1,0.18349114383282042,0.04519737409107157,0.17140334563951493,0.07328347131859923
2,0.18701476202823403,0.04624245061900739,0.19292480680495866,0.06566722233938697
3,0.18666947360202438,0.04691887789268951,0.20101739602259103,0.05903717877695921
4,0.18846207194173065,0.04697038154432093,0.20637274075276277,0.05459651746301897
5,0.18768262520808895,0.04716774140169932,0.21046035595896487,0.058028754388225565
6,0.18824101419055037,0.047866429179703754,0.20646031533355244,0.049319983223379375
7,0.18098607801512623,0.04780415155174246,0.1891589578543446,0.05018027510938058
8,0.18141853207404293,0.04808012840881605,0.1990944521303436,0.05470624996928041
9,0.1826859087852002,0.04812773455782528,0.20484601180690706,0.05780512458036635
10,0.1787581428445759,0.04794004486512072,0.2093375668582609,0.05364925192091884
