epoch,val_CRPS_log,val_Brier_flash,val_Brier_peak,val_Brier_acc
1,0.17946016346043545,0.048587142877028,0.20363134020657087,0.05385820831943966
2,0.18131971722484974,0.0485579184151238,0.19661886451024885,0.05646211701602788
3,0.18211431014079538,0.04790372222668821,0.24086983264027031,0.07643361476016362
4,0.18360144984417165,0.04999578481562989,0.23478013657811594,0.06297750138846189
5,0.17685984893955303,0.047942921363976994,0.2254829507383747,0.05793782587543672
6,0.183859595511703,0.04898376696486024,0.2642662951202349,0.0732492323553824
7,0.1974020206950826,0.05263631588074188,0.3261389067834743,0.08756840619300675
8,0.18593746387101742,0.04838784482863375,0.2681778036874472,0.06691903936871275
9,0.17455384343718003,0.04778923003353641,0.2229398070929603,0.05775223446309296
10,0.19193761241675047,0.048862852284526,0.3070177396453466,0.07006011386547174
