epoch,train_loss,val_CRPS_log,val_CRPS_mm,val_Brier_flash,val_Brier_peak,val_Brier_acc,flash_pr_auc,flash_roc_auc,peak_pr_auc,peak_roc_auc,acc_pr_auc,acc_roc_auc,flash_n_valid,peak_n_valid,acc_n_valid
1,4.630781378255328,0.1320703745006749,0.681158829595608,0.12571799102075418,0.16112669934139182,0.15306233343505016,0.3791626627854302,0.900675836148763,0.6226019895041528,0.8573839856013411,0.26013516043102963,0.8572559301690557,311538,311546,311482
2,4.418678118256293,0.13018308686601965,0.6793508886299598,0.12911954325245475,0.16151912130942453,0.14753763139057288,0.3940242058056567,0.9059647325981048,0.6312623781776033,0.8618293540256318,0.268421867459895,0.8621130364347394,311538,311546,311482
3,4.3540184195143,0.12982069353819647,0.6824758657650172,0.14283656579768023,0.1594342145989446,0.1425890670416609,0.39999647454622744,0.9069096086114266,0.633884402939961,0.8616737127576796,0.2743960543703231,0.8666729909194729,311538,311546,311482
4,4.31271247597971,0.12908712683086535,0.6813861549964162,0.12999478493960248,0.14768493819554648,0.1337168702363175,0.4006053776724553,0.9073665216046805,0.6363354786917419,0.8627421338313894,0.2767806009021545,0.86471272713866,311538,311546,311482
5,4.2831742296594015,0.12779992004087395,0.6803098436317631,0.13211239215670403,0.16387160081999846,0.15889754098664718,0.4055250433664353,0.9093393358263056,0.6389423122127168,0.8645813723227731,0.28037372411811917,0.8676397844981204,311538,311546,311482
6,4.258719106781936,0.12759973942740246,0.674443028602775,0.12236627948823867,0.15453709808159855,0.13177323629226204,0.4067989062812143,0.9098532676389826,0.6382133315601333,0.86479979011556,0.28000143207503825,0.8686368133877124,311538,311546,311482
7,4.2319676166457265,0.12826249935300793,0.6772895128355046,0.11656252980816792,0.15110884725822563,0.14170044674931168,0.40601042070196586,0.908079070183784,0.6370678734509372,0.861885358933978,0.28570968636944033,0.8670350327669146,311538,311546,311482
8,4.209504642809264,0.1277450761881102,0.6760541173330921,0.11745148874471072,0.1551176817590892,0.15114034030808998,0.4073811744226341,0.9109903952849601,0.635938696416965,0.8617105719219419,0.2755908943517733,0.863155931685124,311538,311546,311482
9,4.190434469806001,0.12733151727941744,0.6789131652805565,0.11485767639625143,0.1449036483659066,0.12336161416063807,0.4109803464886966,0.9110447430444878,0.6442306766913064,0.8650896681373635,0.28579918964344053,0.8670177662563389,311538,311546,311482
10,4.173805728765854,0.12688604049759394,0.6752853701282568,0.1287378711280449,0.15312611320705724,0.14632578592863751,0.4141761532875392,0.9118772614437362,0.6399959585095794,0.8639640056783453,0.28254332804239446,0.8669860326844113,311538,311546,311482
11,4.1559552755220714,0.12719496334286387,0.6747887985166714,0.11505853227537798,0.14987966761694943,0.1307144677915827,0.4156272132824578,0.9118072823153094,0.6427196295527454,0.8638174607983091,0.2864102240070487,0.8680300837487503,311538,311546,311482
12,4.141027945666772,0.12759901198253476,0.6854678060050619,0.13793416202352168,0.1506309728597662,0.1320246087235831,0.4117117006473944,0.9119210890874335,0.6415072839126778,0.864740158336396,0.2816596149705877,0.8676992574944887,311538,311546,311482
13,4.12803646284284,0.1265538848412486,0.6882965040522163,0.13447200136589327,0.15433205899877164,0.14832891666200818,0.41231531430899365,0.9130093917226423,0.6479156411119092,0.8686664793920555,0.2828591877083842,0.8710443991518015,311538,311546,311482
14,4.1079731082667355,0.1262957021851216,0.6779805831631438,0.12422819991549934,0.15229680983423577,0.13905857665854263,0.4107067252203702,0.9126834469040258,0.6443032538632418,0.8680930623699997,0.28166901150049994,0.8695497261299663,311538,311546,311482
15,4.094813135913021,0.12958965549011836,0.6896637400534354,0.11719014903664991,0.15051900078374286,0.13793224169377147,0.4125818649947158,0.9128804208855749,0.648276037669254,0.8680041934525833,0.28986445038265646,0.871909161963917,311538,311546,311482
16,4.077298503016288,0.12745051811374594,0.6762918438129646,0.13412621950522577,0.16029230364229477,0.15510798625532798,0.41163380528635,0.9108184174229519,0.6387152586612969,0.8643964821389316,0.2810168455558295,0.8679869851332153,311538,311546,311482
17,4.07106040041452,0.1299149298509875,0.700862748154929,0.1339159667340086,0.1649049905955555,0.16139223673186778,0.4154865262922971,0.913606866651061,0.6447732201851203,0.8673661857414701,0.28740119493227023,0.8692046844576857,311538,311546,311482
18,4.051596232619772,0.1271242032497667,0.6774995067876436,0.12142648077177713,0.14759606816948906,0.12630277644317006,0.4202319401577773,0.9128857331928175,0.645335731069516,0.865742645895523,0.2872350472299417,0.8678230203913148,311538,311546,311482
19,4.0346505677940065,0.12668405020835027,0.6844329292748451,0.13408968689189224,0.16626147589619242,0.16639607096659825,0.41258729899978414,0.9120498727966034,0.6380548882415823,0.8640905278176348,0.2814524097227075,0.8672779031589148,311538,311546,311482
