epoch,val_CRPS_log,val_Brier_flash,val_Brier_peak,val_Brier_acc
1,0.1870743016540381,0.050155769081506256,0.2288662420949478,0.08858659063834388
2,0.19777980336200654,0.049007735871835566,0.272376260779738,0.07971417623154184
3,0.20346609921963685,0.05021394130738474,0.32353162816000125,0.09360795634725308
4,0.18252420965874186,0.048409132312499506,0.257908605660772,0.08106433776149544
5,0.19569467919560649,0.047673269862648665,0.29527770878054094,0.08055265934959306
6,0.20307963223680076,0.04739434418386257,0.29965694377455915,0.06515949607583625
7,0.19304568346878612,0.048579707925809575,0.2978305864570621,0.07162590970759808
8,0.17807160727622942,0.04735231822057445,0.24055742731387472,0.06043441932829089
9,0.18518582597871405,0.04723261542764862,0.2577681378247741,0.0564312091680579
10,0.18611719202978752,0.04743720723807948,0.2982901715106026,0.08330677823531146
