epoch,val_CRPS_log,val_Brier_flash,val_Brier_peak,val_Brier_acc
1,0.1875000353123772,0.04783550857279588,0.183168013001052,0.08657972312522529
2,0.18471369381267122,0.04664751481587765,0.18795020277535412,0.06899171531600205
3,0.1873843990572978,0.04634834710399895,0.20279883738485152,0.07075154624584223
4,0.19092134302903863,0.04734300801967119,0.2036719826156309,0.06298149826294488
5,0.184091118529426,0.04766238181433778,0.18351048511756599,0.048290913959831414
6,0.17574256910287,0.048242552463935176,0.16714325779275005,0.048089506815333596
7,0.18724952624317337,0.04793946653653575,0.21288617844411198,0.058221955629934916
8,0.18194762410925383,0.048224717385392704,0.19617301229362638,0.05344636088262177
9,0.18865715787512372,0.048036167637891584,0.21271609371908629,0.05730836167439621
10,0.17818695469353776,0.048120809134651915,0.19297647398758677,0.05383437263883039
