epoch,val_CRPS_log,val_Brier_flash,val_Brier_peak,val_Brier_acc
1,0.18763994193596942,0.047728673745998276,0.20481959999336993,0.10150963891765807
2,0.18667676631614358,0.04756579611867249,0.21162698261679821,0.06518927080517142
3,0.18125353804026903,0.04890082992418661,0.19924274535709274,0.054512084059579836
4,0.18417656303542415,0.04792185824806767,0.22310607909080393,0.05668526771291648
5,0.18239951489626297,0.04842039578921038,0.2087204590102533,0.0622010889347107
6,0.18078143650889786,0.04837788243714485,0.21008560578355312,0.051448558915182366
7,0.1865950403568734,0.04791446126686738,0.23545117984521002,0.0687473750143523
8,0.18413550762349304,0.048103605685299596,0.23150708466905673,0.061658328954763496
9,0.18243742271128535,0.04837578464530328,0.20583410689870454,0.050898108447401065
10,0.1872885123250977,0.04835735508344973,0.2239137894585524,0.05105636943492252
